date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
02/15/2013,home,11320,305,Indiana St.,9,True,2,0,2,win,2 - 0,658062,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
02/16/2013,home,11320,444,Morehead St.,9,True,6,11,-5,loss,6 - 11,658389,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
02/17/2013,away,11320,6,Alabama A&M,10,True,6,7,-1,loss,6 - 7,658468,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
02/17/2013,away,11320,6,Alabama A&M,9,True,7,6,1,win,7 - 6,1681132,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
02/23/2013,away,11320,695,UT Martin,9,True,4,5,-1,loss,4 - 5,659131,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
02/24/2013,away,11320,695,UT Martin,9,True,3,4,-1,loss,3 - 4,1717054,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
02/24/2013,away,11320,695,UT Martin,9,True,0,1,-1,loss,0 - 1,659511,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/03/2013,away,11320,660,SIUE,9,True,1,2,-1,loss,1 - 2,661047,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/03/2013,away,11320,660,SIUE,11,True,7,6,1,win,7 - 6,661091,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/09/2013,home,11320,87,Butler,9,True,0,1,-1,loss,0 - 1,662636,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/09/2013,home,11320,87,Butler,11,True,4,3,1,win,4 - 3,662675,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/10/2013,home,11320,87,Butler,9,True,2,1,1,win,2 - 1,662974,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/15/2013,away,11320,47,Ball St.,9,True,2,3,-1,loss,2 - 3,663791,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/16/2013,away,11320,47,Ball St.,9,True,3,4,-1,loss,3 - 4,664292,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/17/2013,away,11320,47,Ball St.,9,True,2,9,-7,loss,2 - 9,664755,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/23/2013,away,11320,7,Alabama St.,9,True,0,2,-2,loss,0 - 2,666220,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
03/23/2013,away,11320,7,Alabama St.,9,True,4,3,1,win,4 - 3,666433,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
