date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/15/2014,away,11620,346,Lamar University,12,True,6,3,3,win,6 - 3,587011,302,1,1.0,5,2,0,0,0,0,9,9,1,0,0,0,0,0,0,1,1,0,0,31,1,2,0,0,0,2,0,1070921,2014
02/15/2014,home,11620,386,Marist,9,True,10,7,3,win,10 - 7,587228,302,1,2.0,1,0,0,0,1,0,7,6,0,0,0,0,0,0,0,2,1,0,1,0,1,4,0,0,0,2,0,1070921,2014
02/23/2014,away,11620,736,Vanderbilt,9,True,1,12,-11,loss,1 - 12,588497,302,1,1.0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,13,0,3,0,0,0,4,0,1070921,2014
02/28/2014,away,11620,32,Little Rock,9,True,5,9,-4,loss,5 - 9,588989,302,1,1.1,3,1,1,1,0,0,7,6,0,0,1,0,0,0,0,3,2,0,0,0,2,1,0,0,0,3,0,1070921,2014
03/15/2014,away,11620,810,Wright St.,9,True,10,18,-8,loss,10 - 18,592989,302,1,1.0,4,3,3,1,2,0,8,7,0,0,1,1,0,0,0,0,0,0,0,34,1,0,0,0,0,2,2,1070921,2014
03/19/2014,away,11620,136,Chicago St.,9,True,12,14,-2,loss,12 - 14,593739,302,1,1.0,3,4,4,2,0,0,8,4,1,0,0,0,0,1,0,1,1,1,0,31,1,1,0,0,0,2,0,1070921,2014
04/01/2014,home,11620,559,Purdue,9,True,18,5,13,win,18 - 5,597148,302,1,3.0,2,0,0,0,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,23,5,1,0,0,0,2,0,1070921,2014
04/09/2014,home,11620,136,Chicago St.,9,True,7,8,-1,loss,7 - 8,599392,302,1,2.1,7,2,2,1,0,0,12,10,3,1,0,0,0,0,0,2,1,1,0,42,3,1,0,0,0,2,0,1070921,2014
04/23/2014,away,11620,559,Purdue,9,True,3,5,-2,loss,3 - 5,603624,302,1,0.2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,2,0,1070921,2014
04/27/2014,away,11620,735,Valparaiso,9,True,6,3,3,win,6 - 3,604965,302,1,3.1,3,1,0,1,2,0,14,13,1,0,0,0,0,0,0,3,1,0,0,56,5,2,1,0,0,2,1,1070921,2014
04/30/2014,away,11620,72,Bradley,9,True,9,5,4,win,9 - 5,605542,302,1,3.1,3,1,1,1,0,0,14,12,2,0,0,0,0,0,0,2,0,0,1,45,3,7,1,0,0,2,0,1070921,2014
05/03/2014,home,11620,797,Milwaukee,9,True,15,7,8,win,15 - 7,606085,302,1,2.1,1,0,0,0,1,0,9,8,0,0,0,0,0,1,0,1,0,0,0,22,2,4,0,0,0,2,1,1070921,2014
05/07/2014,home,11620,509,Northwestern,9,True,4,8,-4,loss,4 - 8,606972,302,1,1.2,2,1,1,0,1,0,8,7,0,0,1,0,0,1,0,1,0,0,0,26,2,2,0,0,0,3,1,1070921,2014
05/09/2014,away,11620,817,Youngstown St.,9,True,8,9,-1,loss,8 - 9,607345,302,1,1.0,1,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,2,1,1070921,2014
05/11/2014,away,11620,817,Youngstown St.,9,True,8,2,6,win,8 - 2,607753,302,1,0.2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,1,0,1,13,0,2,0,0,0,2,0,1070921,2014
05/15/2014,home,11620,514,Oakland,9,True,2,7,-5,loss,2 - 7,607923,302,1,1.0,4,3,3,1,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,28,1,2,0,0,0,3,0,1070921,2014
05/17/2014,home,11620,514,Oakland,9,True,0,3,-3,loss,0 - 3,608270,302,1,0.2,2,0,0,0,1,0,4,4,0,0,0,0,0,0,0,1,1,0,0,10,1,0,0,0,0,4,1,1070921,2014
