App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,1.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,02/16/2013,away,11320,419,Middle Tenn.,9,True,6,11,-5,loss,658106,47,1091136,2013
1,1,2.1,6,5,4,2,3,0,14,11,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,02/24/2013,neutral,11320,72,Bradley,9,True,8,13,-5,loss,659831,47,1091136,2013
1,0,1.0,1,1,1,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,3,0,03/06/2013,away,11320,648,South Carolina,9,True,4,14,-10,loss,661583,47,1091136,2013
1,0,1.1,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,03/09/2013,neutral,11320,518,Ohio St.,9,True,3,5,-2,loss,662582,47,1091136,2013
1,0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,03/16/2013,home,11320,308,Purdue Fort Wayne,9,True,4,3,1,win,664292,47,1091136,2013
1,0,3.2,0,0,0,2,1,0,13,9,0,0,0,0,0,2,0,2,0,0,0,48,4,4,0,0,0,3,0,03/23/2013,home,11320,5,Akron,9,True,4,7,-3,loss,666218,47,1091136,2013
1,0,1.0,1,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,03/30/2013,away,11320,331,Kent St.,9,True,5,11,-6,loss,668171,47,1091136,2013
1,0,0.1,2,4,4,3,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,04/03/2013,home,11320,505,Northern Ky.,9,True,9,10,-1,loss,669074,47,1091136,2013
1,0,1.0,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,04/09/2013,home,11320,71,Bowling Green,9,True,5,7,-2,loss,670890,47,1091136,2013
1,0,1.1,3,2,0,0,1,0,9,8,0,0,0,0,0,1,0,2,2,0,0,0,2,1,0,0,0,3,0,04/12/2013,home,11320,129,Central Mich.,9,True,2,19,-17,loss,671464,47,1091136,2013
1,0,1.0,4,4,2,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,1,34,2,1,0,0,0,4,0,04/27/2013,home,11320,519,Ohio,9,True,10,13,-3,loss,676520,47,1091136,2013
1,0,0.0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,2,2,0,0,9,0,0,0,0,0,3,0,05/14/2013,away,11320,305,Indiana St.,9,True,3,4,-1,loss,679400,47,1091136,2013
