season,season_id,school_id,stats_player_seq,division,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2020,15204,2,1997675,1.0,1.0,0,1,0,0,0,0,0,0,0,1.0,
2020,15204,2,1997699,1.0,27.0,27,0,0,0,0,0,0,0,0,1.0,
2020,15204,2,1997710,1.0,27.0,8,13,6,0,0,0,0,0,0,0.7777777777777778,
2020,15204,2,1998329,1.0,0.0,0,0,0,0,0,0,0,0,0,,
2020,15204,2,2133295,1.0,51.0,46,4,1,0,0,0,0,2,0,0.9803921568627451,
2020,15204,2,2133302,1.0,42.0,20,19,3,0,0,0,0,4,0,0.9285714285714286,
2020,15204,2,2133304,1.0,3.0,1,2,0,0,0,4,1,0,0,1.0,0.25
2020,15204,2,2137687,1.0,123.0,108,11,4,1,4,19,7,0,0,0.967479674796748,0.3684210526315789
2020,15204,2,2347955,1.0,29.0,15,14,0,0,0,0,0,3,0,1.0,
2020,15204,2,2347956,1.0,0.0,0,0,0,0,0,0,0,0,0,,
2020,15204,2,2347957,1.0,32.0,31,0,1,0,0,0,0,0,0,0.96875,
2020,15204,2,2347958,1.0,0.0,0,0,0,0,0,0,0,0,0,,
2020,15204,2,2347963,1.0,2.0,1,1,0,0,0,0,0,0,0,1.0,
2020,15204,2,2347964,1.0,0.0,0,0,0,0,0,0,0,0,0,,
2020,15204,2,2347965,1.0,23.0,21,2,0,0,0,0,0,0,0,1.0,
2020,15204,2,2347966,1.0,8.0,8,0,0,0,0,0,0,0,0,1.0,
2020,15204,2,2347967,1.0,62.0,16,41,5,0,0,0,0,9,0,0.9193548387096774,
2020,15204,2,2347968,1.0,11.0,6,4,1,0,0,0,0,1,0,0.9090909090909091,
2020,15204,2,2347971,1.0,4.0,1,2,1,0,0,0,4,0,0,0.75,
2020,15204,2,2347972,1.0,4.0,2,2,0,0,0,0,0,0,0,1.0,
2020,15204,2,2347974,1.0,20.0,19,1,0,0,0,0,0,1,0,1.0,
2020,15204,2,2347975,1.0,6.0,5,0,1,0,0,0,0,0,0,0.8333333333333334,
2020,15204,2,2347976,1.0,3.0,0,2,1,0,0,1,0,0,0,0.6666666666666666,0.0
2020,15204,2,2347977,1.0,2.0,2,0,0,0,0,4,1,0,0,1.0,0.25
2020,15204,2,2347979,1.0,64.0,55,5,4,0,0,0,0,6,0,0.9375,
2020,15204,2,2347980,1.0,0.0,0,0,0,0,0,3,0,0,0,,0.0
2020,15204,2,2347981,1.0,0.0,0,0,0,0,0,0,0,0,0,,
